ServicingOption,AvailabilityDate,Build,KBArticle
General Availability Channel,23/07/2024,19045.4717,KB5040525
General Availability Channel,09/07/2024,19045.4651,KB5040427
General Availability Channel,25/06/2024,19045.4598,KB5039299
General Availability Channel,11/06/2024,19045.4529,KB5039211
General Availability Channel,29/05/2024,19045.4474,KB5037849
General Availability Channel,14/05/2024,19045.4412,KB5037768
General Availability Channel,23/04/2024,19045.4355,KB5036979
General Availability Channel,09/04/2024,19045.4291,KB5036892
General Availability Channel,26/03/2024,19045.4239,KB5035941
General Availability Channel,12/03/2024,19045.417,KB5035845
General Availability Channel,29/02/2024,19045.4123,KB5034843
General Availability Channel,13/02/2024,19045.4046,KB5034763
General Availability Channel,23/01/2024,19045.3996,KB5034203
General Availability Channel,09/01/2024,19045.393,KB5034122
General Availability Channel,12/12/2023,19045.3803,KB5033372
General Availability Channel,30/11/2023,19045.3758,KB5032278
General Availability Channel,14/11/2023,19045.3693,KB5032189
General Availability Channel,26/10/2023,19045.3636,KB5031445
General Availability Channel,10/10/2023,19045.357,KB5031356
General Availability Channel,26/09/2023,19045.3516,KB5030300
General Availability Channel,12/09/2023,19045.3448,KB5030211
General Availability Channel,22/08/2023,19045.3393,KB5029331
General Availability Channel,08/08/2023,19045.3324,KB5029244
General Availability Channel,25/07/2023,19045.3271,KB5028244
General Availability Channel,11/07/2023,19045.3208,KB5028166
General Availability Channel,27/06/2023,19045.3155,KB5027293
General Availability Channel,13/06/2023,19045.3086,KB5027215
General Availability Channel,23/05/2023,19045.3031,KB5026435
General Availability Channel,09/05/2023,19045.2965,KB5026361
General Availability Channel,25/04/2023,19045.2913,KB5025297
General Availability Channel,11/04/2023,19045.2846,KB5025221
General Availability Channel,21/03/2023,19045.2788,KB5023773
General Availability Channel,14/03/2023,19045.2728,KB5023696
General Availability Channel,21/02/2023,19045.2673,KB5022906
General Availability Channel,14/02/2023,19045.2604,KB5022834
General Availability Channel,19/01/2023,19045.2546,KB5019275
General Availability Channel,10/01/2023,19045.2486,KB5022282
General Availability Channel,13/12/2022,19045.2364,KB5021233
General Availability Channel,15/11/2022,19045.2311,KB5020030
General Availability Channel,08/11/2022,19045.2251,KB5019959
General Availability Channel,18/10/2022,19045.213,
LTSC,09/07/2024,19044.4651,KB5040427
