KB article,Servicing option,Availability date,Build,OS Version
KB5062660,LTSC  •  General Availability Channel,2025-07-22,26100.4770,Windows 11
KB5064489,LTSC  •  General Availability Channel,2025-07-13,26100.4656,Windows 11
KB5062553,LTSC  •  General Availability Channel,2025-07-08,26100.4652,Windows 11
KB5060829,LTSC  •  General Availability Channel,2025-06-26,26100.4484,Windows 11
KB5063060,LTSC  •  General Availability Channel,2025-06-11,26100.4351,Windows 11
KB5060842,LTSC  •  General Availability Channel,2025-06-10,26100.4349,Windows 11
KB5058499,LTSC  •  General Availability Channel,2025-05-28,26100.4202,Windows 11
KB5061977,LTSC  •  General Availability Channel,2025-05-27,26100.4066,Windows 11
KB5058411,LTSC  •  General Availability Channel,2025-05-13,26100.4061,Windows 11
KB5055627,LTSC  •  General Availability Channel,2025-04-25,26100.3915,Windows 11
KB5055523,LTSC  •  General Availability Channel,2025-04-08,26100.3775,Windows 11
KB5053656,LTSC  •  General Availability Channel,2025-03-27,26100.3624,Windows 11
KB5053598,LTSC  •  General Availability Channel,2025-03-11,26100.3476,Windows 11
KB5052093,LTSC  •  General Availability Channel,2025-02-25,26100.3323,Windows 11
KB5051987,LTSC  •  General Availability Channel,2025-02-11,26100.3194,Windows 11
KB5050094,LTSC  •  General Availability Channel,2025-01-28,26100.3037,Windows 11
KB5050009,LTSC  •  General Availability Channel,2025-01-14,26100.2894,Windows 11
KB5048667,LTSC  •  General Availability Channel,2024-12-10,26100.2605,Windows 11
KB5046740,LTSC  •  General Availability Channel,2024-11-21,26100.2454,Windows 11
KB5046617,LTSC  •  General Availability Channel,2024-11-12,26100.2314,Windows 11
KB5044384,LTSC  •  General Availability Channel,2024-10-24,26100.2161,Windows 11
KB5044284,LTSC  •  General Availability Channel,2024-10-08,26100.2033,Windows 11
,LTSC  •  General Availability Channel,2024-10-01,26100.1742,Windows 11
KB5062663,General Availability Channel,2025-07-22,22631.5699,Windows 11
KB5062552,General Availability Channel,2025-07-08,22631.5624,Windows 11
KB5060826,General Availability Channel,2025-06-26,22631.5549,Windows 11
KB5060999,General Availability Channel,2025-06-10,22631.5472,Windows 11
KB5062170,General Availability Channel,2025-05-31,22631.5415,Windows 11
KB5058502,General Availability Channel,2025-05-27,22631.5413,Windows 11
KB5058405,General Availability Channel,2025-05-13,22631.5335,Windows 11
KB5055629,General Availability Channel,2025-04-22,22631.5262,Windows 11
KB5058919,General Availability Channel,2025-04-11,22631.5192,Windows 11
KB5055528,General Availability Channel,2025-04-08,22631.5189,Windows 11
KB5053657,General Availability Channel,2025-03-25,22631.5126,Windows 11
KB5053602,General Availability Channel,2025-03-11,22631.5039,Windows 11
KB5052094,General Availability Channel,2025-02-25,22631.4974,Windows 11
KB5051989,General Availability Channel,2025-02-11,22631.4890,Windows 11
KB5050092,General Availability Channel,2025-01-29,22631.4830,Windows 11
KB5050021,General Availability Channel,2025-01-14,22631.4751,Windows 11
KB5048685,General Availability Channel,2024-12-10,22631.4602,Windows 11
KB5046732,General Availability Channel,2024-11-21,22631.4541,Windows 11
KB5046633,General Availability Channel,2024-11-12,22631.4460,Windows 11
KB5044380,General Availability Channel,2024-10-22,22631.4391,Windows 11
KB5044285,General Availability Channel,2024-10-08,22631.4317,Windows 11
KB5043145,General Availability Channel,2024-09-26,22631.4249,Windows 11
KB5043076,General Availability Channel,2024-09-10,22631.4169,Windows 11
KB5041587,General Availability Channel,2024-08-27,22631.4112,Windows 11
KB5041585,General Availability Channel,2024-08-13,22631.4037,Windows 11
